accession,serotype,genotype,continent,country-code,country,region,sub-location1,sub-location2,lat,long,isolation-date
FJ898461,2,AA,Central-America,BLZ,Belize,,,,,,2002
HQ012533,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,Rio-de-Janeiro,,-22.28,-42.42,1990
HQ012538,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,Rio-de-Janeiro,,-22.28,-42.42,1990
HQ012534,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,Rio-de-Janeiro,,-22.28,-42.42,1991
HQ012535,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Ceara,,,,1994
JX669480,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,1995
JX669481,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,1995
JX669482,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,1995
JX669483,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,1997
HQ012536,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,Rio-de-Janeiro,,-22.28,-42.42,1998
JX669484,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,1998
JX669485,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,1998
HQ012537,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,Rio-de-Janeiro,,-22.28,-42.42,1999
JX669486,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,1999
FJ850072,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2000
JN819419,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2000
JX669487,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,2000
FJ850074,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2001
JX073928,2,AA,South-America ,BRA,Brazil,,,,,,2001
FJ850076,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2002
JX669488,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,2002
FJ850078,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2003
GQ868640,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2003
FJ850082,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2004
FJ850085,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2005
FJ850088,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2006
KP188549,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2006-05-26
FJ850091,2,AA,South-America ,BRA,Brazil,North-Brazil,Northern,,,,2007
GQ199890,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GQ868549,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GQ868550,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GQ868551,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GU131864,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GU131879,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GU131880,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GU131881,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GU131882,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GU131883,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GU131884,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
GU131885,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
HM181971,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008
HQ026763,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,Rio-de-Janeiro,,-22.28,-42.42,2008
JX567950,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,2008
JX567951,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,2008
KP188550,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2008-06-17
JX669476,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,2010
JX669477,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,2010
JX669478,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,2010
JX669479,2,AA,South-America ,BRA,Brazil,Northeast-Brazil,Pernambuco,,,,2010
JX286520,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-02-24
JX286522,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-02-24
JX286516,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-03-01
JX286517,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-03-01
JX286525,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-03-09
JX286523,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-03-24
USP-158,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Ribeirão Preto,-21.178333,-47.8066671,2010-03-27
JX286526,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-03-30
JX286518,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-04-12
JX286524,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-04-15
USP-269,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Ribeirão Preto,-21.178333,-47.8066671,2010-04-22
USP-312,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Ribeirão Preto,-21.178333,-47.8066671,2010-04-23
JX286519,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-05-04
JX286521,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2010-05-04
KP188551,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2012-10-31
KP188552,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2012-11-28
KP188553,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2013-01-10
KP188554,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2013-02-04
KP188555,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2013-02-07
KP188556,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2013-02-08
KP188569,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,,,,2014-04-03
BC01-lib2,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,SaoJoseRioPreto,-20.8125851,-49.3804212,2017-06-07
BC03-lib2,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,SaoJoseRioPreto,-20.8125851,-49.3804212,2019-01-13
BC05-lib2,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,SaoJoseRioPreto,-20.8125851,-49.3804212,2019-01-17
BC06-lib2,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,SaoJoseRioPreto,-20.8125851,-49.3804212,2019-01-18
BC01-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-05
BC02-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-06
BC03-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-06
BC04-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-06
BC05-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-07
BC06-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-08
BC10-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-08
BC07-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-15
BC08-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-16
BC09-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-16
BC11-lib6,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Araraquara,-21.7886713,-48.1773096,2019-02-21
BC07-lib2,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,SaoJoseRioPreto,-20.8125851,-49.3804212,2019-04-08
USP-37,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Monte Aprazível,-20.72587315,-49.72997854,2019-04-11
BC10-lib2,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,SaoJoseRioPreto,-20.8125851,-49.3804212,2019-04-15
USP-96,2,AA,South-America ,BRA,Brazil,Southeast-Brazil,SaoPaulo,Ribeirão Preto,-21.178333,-47.8066671,2019-04-18
