accession,serotype,genotype,continent,country-code,country,region,sub-location1,sub-location2,lat,long,isolation-date
MH382789,4,,Oceania,AUS,Australia,,,,,,2016
JN559740,4,,South-America ,BRA,Brazil,,,,,,1982-03-26
JQ513330,4,,South-America ,BRA,Brazil,,,,,,2010-07-17
JQ513331,4,,South-America ,BRA,Brazil,,,,,,2010-07-18
JN559741,4,,South-America ,BRA,Brazil,,,,,,2010-07-21
JQ513332,4,,South-America ,BRA,Brazil,,,,,,2010-08-20
JQ513333,4,,South-America ,BRA,Brazil,,,,,,2010-08-24
JN983813,4,,South-America ,BRA,Brazil,,,,,,2010-09-08
JQ513334,4,,South-America ,BRA,Brazil,,,,,,2010-11-10
JQ513341,4,,South-America ,BRA,Brazil,,,,,,2010-11-21
JQ513340,4,,South-America ,BRA,Brazil,,,,,,2010-11-29
JQ513336,4,,South-America ,BRA,Brazil,,,,,,2011-01-11
JQ513335,4,,South-America ,BRA,Brazil,,,,,,2011-01-12
JQ513344,4,,South-America ,BRA,Brazil,,,,,,2011-01-13
JQ513338,4,,South-America ,BRA,Brazil,,,,,,2011-01-14
JQ513337,4,,South-America ,BRA,Brazil,,,,,,2011-01-20
JQ513339,4,,South-America ,BRA,Brazil,,,,,,2011-01-24
JQ513342,4,,South-America ,BRA,Brazil,,,,,,2011-01-29
JQ513343,4,,South-America ,BRA,Brazil,,,,,,2011-01-29
KT794007,4,,South-America ,BRA,Brazil,,,,,,2011-03-07
JQ513345,4,,South-America ,BRA,Brazil,,,,,,2011-03-18
KJ596671,4,,South-America ,BRA,Brazil,,,,,,2012-02-03
KJ596672,4,,South-America ,BRA,Brazil,,,,,,2012-02-03
KJ596674,4,,South-America ,BRA,Brazil,,,,,,2012-02-16
KJ596673,4,,South-America ,BRA,Brazil,,,,,,2012-02-29
KP188557,4,,South-America ,BRA,Brazil,,,,,,2012-03-09
KJ596664,4,,South-America ,BRA,Brazil,,,,,,2012-03-12
KJ596666,4,,South-America ,BRA,Brazil,,,,,,2012-03-14
KJ596667,4,,South-America ,BRA,Brazil,,,,,,2012-03-14
KJ596668,4,,South-America ,BRA,Brazil,,,,,,2012-03-14
KP188558,4,,South-America ,BRA,Brazil,,,,,,2012-03-14
KP188559,4,,South-America ,BRA,Brazil,,,,,,2012-03-16
KJ596665,4,,South-America ,BRA,Brazil,,,,,,2012-03-20
KJ596663,4,,South-America ,BRA,Brazil,,,,,,2012-03-21
KJ596662,4,,South-America ,BRA,Brazil,,,,,,2012-03-23
