Sero_Geno	1_I	#3E5DD0
Sero_Geno	1_I_related	#4A8CC2
Sero_Geno	1_II	#60AA9E
Sero_Geno	1_III	#80B974
Sero_Geno	1_III_related	#A6BE55
Sero_Geno	1_IV	#CBB742
Sero_Geno	1_IV_related	#E29D39
Sero_Geno	1_V	#E56A2F
Sero_Geno	1_unassigned	#DB2823
		
Location	Florida(USA)	#4433BE
Location	Bahamas	#3E5ACF
Location	Barbados	#457FCB
Location	British-Virgin-Islands	#529AB6
Location	Cuba	#64AD98
Location	Dominican-Republic	#7BB77A
Location	Haiti	#96BD60
Location	Jamaica	#B3BD4D
Location	Puerto-Rico	#CDB642
Location	Saint-Barthelemy	#DFA43B
Location	Saint-Martin	#E68434
Location	Texas(USA)	#E2582C
Location	Trinidad-and-Tobago	#DB2823
		
Location	American-Samoa	#5E1D9D
Location	Angola	#581EA2
Location	Anguilla	#521EA7
Location	Antigua	#4E20AC
Location	Argentina	#4C24B0
Location	Australia	#4A28B4
Location	Bangladesh	#472CB7
Location	Belize	#4530BB
Location	Benin	#4335BF
Location	Bolivia	#4039C3
Location	Borneo	#403DC6
Location	Brazil	#3F43C7
Location	Brunei	#3F48C9
Location	Burkina-Faso	#3F4DCB
Location	California	#3F52CD
Location	Cambodia	#3E57CE
Location	Cameroon	#3E5CD0
Location	Chad	#3F61D0
Location	China	#4066CF
Location	Colombia	#416ACF
Location	Comoros	#426FCE
Location	Cook-Islands	#4274CE
Location	Costa-Rica	#4378CD
Location	Democratic-Republic-of-Congo	#447DCC
Location	Djibouti	#4681CA
Location	Dominica	#4784C7
Location	Easter-Island	#4988C5
Location	Ecuador	#4A8CC3
Location	El-Salvador	#4C90C0
Location	Eritrea	#4D93BE
Location	Ethiopia	#4F97BB
Location	Fiji	#5199B7
Location	France	#539CB4
Location	French-Guiana	#559EB0
Location	French-Polynesia	#57A1AD
Location	Gabon	#59A4A9
Location	Gambia	#5BA6A6
Location	Germany	#5EA8A2
Location	Ghana	#60AA9E
Location	Grenada	#63AC9A
Location	Guadeloupe	#66AE96
Location	Guam	#68AF92
Location	Guatemala	#6BB18E
Location	Guinea	#6DB38A
Location	Guinea-Bissau	#70B486
Location	Guyana	#74B583
Location	Hawaii(USA)	#77B67F
Location	Honduras	#7AB77B
Location	India	#7DB877
Location	Indonesia	#80B974
Location	Israel	#83BA70
Location	Italy	#87BB6D
Location	Ivory-Coast	#8ABB6A
Location	Japan	#8EBC67
Location	Kenya	#92BC64
Location	Kiribati	#95BD61
Location	Laos	#99BD5D
Location	Malaysia	#9CBE5B
Location	Maldives	#A0BE58
Location	Martinique	#A4BE56
Location	Mauritania	#A7BE54
Location	Mexico	#ABBD52
Location	Micronesia	#AFBD4F
Location	Mozambique	#B2BD4D
Location	Myanmar	#B6BD4B
Location	Nauru	#B9BC4A
Location	Nepal	#BCBB49
Location	New-Caledonia	#C0BA47
Location	Nicaragua	#C3BA46
Location	Nigeria	#C7B944
Location	Niue	#CAB843
Location	Pakistan	#CDB642
Location	Palau	#CFB441
Location	Panama	#D2B340
Location	Papua-New-Guinea	#D4B13F
Location	Paraguay	#D7AF3E
Location	Peru	#DAAD3D
Location	Philippines	#DCAB3C
Location	Republic-of-the-Congo	#DEA83C
Location	Reunion	#DFA43B
Location	Saint-Croix	#E0A13A
Location	Saint-John	#E29E39
Location	Saint-Kitts-and-Nevis	#E39A39
Location	Saint-Lucia	#E59738
Location	Saint-Thomas	#E69337
Location	Samoa	#E68F36
Location	Saudi-Arabia	#E68A35
Location	Senegal	#E68534
Location	Seychelles	#E68033
Location	Singapore	#E67B32
Location	Somalia	#E67631
Location	South-Korea	#E67130
Location	Sri-Lanka	#E56B2F
Location	Suriname	#E4652E
Location	Taiwan	#E35F2D
Location	Tanzania	#E2592C
Location	Thailand	#E1532A
Location	Timor-Leste	#E04D29
Location	Tonga	#DF4728
Location	Uganda	#DF4027
Location	USA	#DE3A26
Location	Venezuela	#DD3425
Location	Vietnam	#DC2E24
Location	Wallis-and-Futuna	#DB2823
Location	Niger	#DE3A26
Location	Egypt	#706300
Location	Mayotte	#5e4fa2
Location	Switzerland	#9CBE5B
Location	UAE	#A0BE58
Location	Saint-Vincent-Grenadines	#7DB877
		
Region	North-America	#9e0142
Region	Central-America	#d53e4f
Region	Caribbean	#f46d43
Region	South-America	#fdae61
Region	Europe	#fee08b
Region	Sub-Saharan-Africa	#ffff84
Region	Middle-East-NA	#e6f598
Region	South-Asia	#abdda4
Region	East-Asia	#66c2a5
Region	Southeast-Asia	#3288bd
Region	Pacific	#5e4fa2
		
Lineage	1I	#2e1c47
Lineage	1I_A	#34204d
Lineage	1I_B	#3a2453
Lineage	1I_C	#3f2759
Lineage	1I_D	#452b5f
Lineage	1I_E	#4b2f64
Lineage	1I_E.1	#51336a
Lineage	1I_E.2	#563670
Lineage	1I_F	#5c3a76
Lineage	1I_G	#654181
Lineage	1I_H	#724c91
Lineage	1I_H.1	#7f57a0
Lineage	1I_H.2	#8c62b0
Lineage	1I_J	#996dc0
Lineage	1I_K	#a678d0
Lineage	1I_K.1	#b283df
Lineage	1I_K.2	#bf8eef
Lineage	1I_K.3	#cc99ff
Lineage	1II	#527b6a
Lineage	1III	#776e30
Lineage	1III_A	#dfbf88
Lineage	1III_B	#e6d797
Lineage	1IV	#bb5356
Lineage	1IV_A	#c55d57
Lineage	1IV_B	#ce6758
Lineage	1IV_B.1	#d87e6c
Lineage	1IV_B.2	#e1a191
Lineage	1IV_C	#eac5b7
Lineage	1V	#072c3d
Lineage	1V_A	#1e475e
Lineage	1V_B	#36627e
Lineage	1V_C	#4e7c9f
Lineage	1V_D.1	#6597c0
Lineage	1V_D.2	#7ca9cd
Lineage	1V_E	#94bcda
Lineage	1V_F	#abcee7
Lineage	1V_G	#c3e0f4
Lineage	1VI	#8e3f66
Lineage	1VI_A	#d0638a
Lineage	1VI_B	#ffccff
Lineage	Unassigned	#A9A9A9
