"","week","indexP"
"1","2013-12-30",1.62953812282385
"2","2014-01-06",1.26417107029156
"3","2014-01-13",1.49209420951481
"4","2014-01-20",1.57352587351284
"5","2014-01-27",0.947833312883737
"6","2014-02-03",0.909394288080568
"7","2014-02-10",1.47047701638149
"8","2014-02-17",1.33135326754021
"9","2014-02-24",1.41412155030255
"10","2014-03-03",1.73066021396796
"11","2014-03-10",1.4263779994389
"12","2014-03-17",1.45376793217643
"13","2014-03-24",1.47806016616317
"14","2014-03-31",1.50681282753721
"15","2014-04-07",1.52658877548408
"16","2014-04-14",1.5974656018746
"17","2014-04-21",1.10082279932207
"18","2014-04-28",0.527592061874636
"19","2014-05-05",0.652394380268239
"20","2014-05-12",0.554307970624101
"21","2014-05-19",0.999578580299097
"22","2014-05-26",0.526876528632839
"23","2014-06-02",0.515103427371922
"24","2014-06-09",0.604347721243913
"25","2014-06-16",0.480233813907037
"26","2014-06-23",0.486968161497669
"27","2014-06-30",0.426050967714759
"28","2014-07-07",0.515939830032376
"29","2014-07-14",0.329083037113205
"30","2014-07-21",0.596047246493115
"31","2014-07-28",0.480707847329036
"32","2014-08-04",0.321315066303916
"33","2014-08-11",0.420686247858379
"34","2014-08-18",0.383855656081085
"35","2014-08-25",0.485001722051009
"36","2014-09-01",0.517770254615416
"37","2014-09-08",0.455536112829687
"38","2014-09-15",0.864309653253045
"39","2014-09-22",0.958601137427986
"40","2014-09-29",0.631521655802698
"41","2014-10-06",0.438895649063632
"42","2014-10-13",0.473936283459215
"43","2014-10-20",1.05013722699472
"44","2014-10-27",0.960935858001536
"45","2014-11-03",1.46355257319924
"46","2014-11-10",0.875175658888707
"47","2014-11-17",1.02860329295363
"48","2014-11-24",2.24173343753979
"49","2014-12-01",1.19425281560021
"50","2014-12-08",1.71305470746634
"51","2014-12-15",1.47960677182204
"52","2014-12-22",1.53819450357445
"53","2014-12-29",1.42464774948375
"54","2015-01-05",1.31867355161424
"55","2015-01-12",1.05861696693325
"56","2015-01-19",1.12088928014917
"57","2015-01-26",1.40065463386226
"58","2015-02-02",1.51728746377058
"59","2015-02-09",1.84224797380596
"60","2015-02-16",1.6410596794196
"61","2015-02-23",1.48901139791478
"62","2015-03-02",1.67001320898188
"63","2015-03-09",1.86722208668765
"64","2015-03-16",1.99380331248231
"65","2015-03-23",1.7802490589295
"66","2015-03-30",1.81965924842217
"67","2015-04-06",1.3025328741947
"68","2015-04-13",2.27014815798069
"69","2015-04-20",2.23133816677967
"70","2015-04-27",0.847176383253328
"71","2015-05-04",1.09031348185183
"72","2015-05-11",0.755663213963056
"73","2015-05-18",0.982201730375516
"74","2015-05-25",0.892324015143994
"75","2015-06-01",0.954614396777089
"76","2015-06-08",0.651342904698781
"77","2015-06-15",0.765455274795057
"78","2015-06-22",0.41569500774433
"79","2015-06-29",0.708996498847694
"80","2015-07-06",0.962051228868071
"81","2015-07-13",0.642871926785386
"82","2015-07-20",0.752480145666902
"83","2015-07-27",0.426733556143337
"84","2015-08-03",0.434580513865711
"85","2015-08-10",0.405335771783472
"86","2015-08-17",0.426865511755013
"87","2015-08-24",0.651035341642779
"88","2015-08-31",0.743446021219905
"89","2015-09-07",1.73944985677503
"90","2015-09-14",0.802316540865616
"91","2015-09-21",1.02571099175117
"92","2015-09-28",1.26590380526383
"93","2015-10-05",0.964896879114287
"94","2015-10-12",0.720636132596322
"95","2015-10-19",1.21116451236201
"96","2015-10-26",2.02717899442785
"97","2015-11-02",2.12010478291941
"98","2015-11-09",1.80231550099151
"99","2015-11-16",2.17657261317178
"100","2015-11-23",2.25212121106761
"101","2015-11-30",2.64082127092079
"102","2015-12-07",2.50096623559537
"103","2015-12-14",1.66310219255599
"104","2015-12-21",2.00342573374597
"105","2015-12-28",3.09231095037998
"106","2016-01-04",2.7816626243915
"107","2016-01-11",3.65102172781569
"108","2016-01-18",1.68497417535596
"109","2016-01-25",2.38588343306547
"110","2016-02-01",1.9644343149684
"111","2016-02-08",2.34830685983583
"112","2016-02-15",2.74492757227226
"113","2016-02-22",2.39279563746638
"114","2016-02-29",2.62910355167806
"115","2016-03-07",2.4889905190526
"116","2016-03-14",1.97282996604865
"117","2016-03-21",2.3452739156965
"118","2016-03-28",2.06015748345723
"119","2016-04-04",1.2666896240196
"120","2016-04-11",1.10465184297269
"121","2016-04-18",0.966772957993938
"122","2016-04-25",0.69981735200656
"123","2016-05-02",0.614467722503687
"124","2016-05-09",1.02771982131288
"125","2016-05-16",1.62525166431223
"126","2016-05-23",0.864671904741011
"127","2016-05-30",2.34228507423278
"128","2016-06-06",0.794766359844252
"129","2016-06-13",0.48641028825791
"130","2016-06-20",0.707413277648717
"131","2016-06-27",0.517839146927661
"132","2016-07-04",0.423082036334924
"133","2016-07-11",0.469733450086168
"134","2016-07-18",0.32683741413065
"135","2016-07-25",0.453882646631879
"136","2016-08-01",0.467689543278622
"137","2016-08-08",0.381330369729209
"138","2016-08-15",0.903000455998207
"139","2016-08-22",0.465661141591201
"140","2016-08-29",0.905784921699315
"141","2016-09-05",0.739456434557755
"142","2016-09-12",0.663198294411856
"143","2016-09-19",0.586934454766368
"144","2016-09-26",0.567418211566129
"145","2016-10-03",0.673471159769801
"146","2016-10-10",1.56259893618349
"147","2016-10-17",1.92799476816625
"148","2016-10-24",1.28012626033428
"149","2016-10-31",1.67651712830225
"150","2016-11-07",1.70870653407428
"151","2016-11-14",1.16518323961323
"152","2016-11-21",1.61024640330102
"153","2016-11-28",2.15929256243475
"154","2016-12-05",2.35957503896388
"155","2016-12-12",1.92695646321978
