"","month","indexP"
"1","2014-01-01",1.02361824706858
"2","2014-02-01",1.21407842805123
"3","2014-03-01",1.25994682157375
"4","2014-04-01",1.26846017363285
"5","2014-05-01",1.19886783360524
"6","2014-06-01",1.08041103306651
"7","2014-07-01",0.93207329008955
"8","2014-08-01",0.866857408468633
"9","2014-09-01",1.0034926238029
"10","2014-10-01",1.00001240700725
"11","2014-11-01",1.01882957535285
"12","2014-12-01",1.06945974869578
"13","2015-01-01",1.06523794091258
"14","2015-02-01",1.15648254124264
"15","2015-03-01",1.35194912835894
"16","2015-04-01",1.29497539810228
"17","2015-05-01",1.2343939940255
"18","2015-06-01",1.24253059152794
"19","2015-07-01",1.24524090962779
"20","2015-08-01",0.938339813586902
"21","2015-09-01",0.921485800762631
"22","2015-10-01",0.925516112452346
"23","2015-11-01",0.959725496241784
"24","2015-12-01",1.11394157679701
"25","2016-01-01",1.44201623608664
"26","2016-02-01",1.26180490206364
"27","2016-03-01",1.35230310422048
"28","2016-04-01",1.40216256380868
"29","2016-05-01",1.33723853858855
"30","2016-06-01",1.08468420516797
"31","2016-07-01",0.794808470097171
"32","2016-08-01",0.738895307508731
"33","2016-09-01",0.80403767465521
"34","2016-10-01",0.861145654924198
"35","2016-11-01",0.955870308120365
"36","2016-12-01",1.04635674559124
"37","2017-01-01",1.06155773385787
"38","2017-02-01",1.13250778341412
"39","2017-03-01",1.27926910067052
"40","2017-04-01",1.26479439036207
"41","2017-05-01",1.28861789629484
"42","2017-06-01",1.15744868616105
"43","2017-07-01",0.98596271170696
"44","2017-08-01",0.848511320885742
"45","2017-09-01",0.775894443396762
"46","2017-10-01",0.931090327354428
"47","2017-11-01",0.970816951086539
"48","2017-12-01",1.06876510077181
"49","2018-01-01",1.13118408086089
"50","2018-02-01",1.29846268736636
"51","2018-03-01",1.33058678549898
"52","2018-04-01",1.35239606385111
"53","2018-05-01",1.13768781643844
"54","2018-06-01",0.972213605536406
"55","2018-07-01",0.845068702709793
"56","2018-08-01",0.793759147216353
"57","2018-09-01",0.845158392529119
"58","2018-10-01",0.954010129797882
"59","2018-11-01",1.04277992338672
"60","2018-12-01",1.09922230191753
"61","2019-01-01",1.08974006303286
"62","2019-02-01",1.4335636151571
"63","2019-03-01",1.41035416979767
"64","2019-04-01",1.42178347222591
"65","2019-05-01",1.26413827652315
"66","2019-06-01",1.05648909284816
"67","2019-07-01",1.12454755825241
"68","2019-08-01",0.9879897803456
"69","2019-09-01",1.07897120375775
"70","2019-10-01",1.03860152796389
"71","2019-11-01",1.0339106558405
"72","2019-12-01",1.07897090918473
"73","2020-01-01",1.22504481934369
"74","2020-02-01",1.32312118548784
"75","2020-03-01",1.46093895222447
"76","2020-04-01",1.42113420064788
"77","2020-05-01",1.37430398688634
"78","2020-06-01",1.23091181692843
