"","week","indexP"
"1","2013-12-30",2.48193787775121
"2","2014-01-06",1.84689255776728
"3","2014-01-13",2.26125959249055
"4","2014-01-20",1.99316566168397
"5","2014-01-27",1.05786297404131
"6","2014-02-03",0.805069722248316
"7","2014-02-10",2.20325282634051
"8","2014-02-17",2.94345094986212
"9","2014-02-24",3.42138148507432
"10","2014-03-03",3.83053947174174
"11","2014-03-10",3.1875101208012
"12","2014-03-17",2.91110474256722
"13","2014-03-24",2.50244628002713
"14","2014-03-31",2.85046877724534
"15","2014-04-07",3.7417201179532
"16","2014-04-14",2.94080729114331
"17","2014-04-21",1.97596328259611
"18","2014-04-28",0.807516196957536
"19","2014-05-05",0.815677641824838
"20","2014-05-12",0.702671579172475
"21","2014-05-19",1.70657106506173
"22","2014-05-26",0.843390601837429
"23","2014-06-02",0.800572954247002
"24","2014-06-09",0.793985101280697
"25","2014-06-16",0.628363772837896
"26","2014-06-23",0.685591355142968
"27","2014-06-30",0.525367010306755
"28","2014-07-07",0.656451012846595
"29","2014-07-14",0.446052285711776
"30","2014-07-21",0.807212643530933
"31","2014-07-28",0.794402180599212
"32","2014-08-04",0.497479072852282
"33","2014-08-11",0.564330619603061
"34","2014-08-18",0.516467705535454
"35","2014-08-25",0.554176195159247
"36","2014-09-01",0.784773341345092
"37","2014-09-08",0.627088471542421
"38","2014-09-15",0.977343397706534
"39","2014-09-22",1.91112319865364
"40","2014-09-29",1.00861158954249
"41","2014-10-06",0.513625031103401
"42","2014-10-13",0.51854172630968
"43","2014-10-20",1.94962278938548
"44","2014-10-27",1.80170888942971
"45","2014-11-03",3.1559483996967
"46","2014-11-10",1.64146787795827
"47","2014-11-17",1.83138097236921
"48","2014-11-24",4.61047914222462
"49","2014-12-01",2.55963859925641
"50","2014-12-08",4.112358586368
"51","2014-12-15",3.59298677753428
"52","2014-12-22",3.14984127726914
"53","2014-12-29",3.06040326112187
"54","2015-01-05",2.78944703879259
"55","2015-01-12",1.58310316258308
"56","2015-01-19",2.50366713604253
"57","2015-01-26",2.97744569289088
"58","2015-02-02",3.6002224271543
"59","2015-02-09",4.12636477655266
"60","2015-02-16",3.90689994750502
"61","2015-02-23",3.15946517652131
"62","2015-03-02",4.20458431374237
"63","2015-03-09",3.97804459452425
"64","2015-03-16",3.96526584739908
"65","2015-03-23",3.65697039248131
"66","2015-03-30",3.75561625745403
"67","2015-04-06",1.94546557728638
"68","2015-04-13",3.64563590668026
"69","2015-04-20",3.31515530970819
"70","2015-04-27",1.50222918684789
"71","2015-05-04",2.37584207861955
"72","2015-05-11",1.44098083149317
"73","2015-05-18",2.12237841577777
"74","2015-05-25",2.08025793104285
"75","2015-06-01",2.13848507393437
"76","2015-06-08",1.2039643487155
"77","2015-06-15",1.40296880660602
"78","2015-06-22",0.702682465707884
"79","2015-06-29",1.2910104785433
"80","2015-07-06",2.00883818502045
"81","2015-07-13",1.14416013818165
"82","2015-07-20",1.33329345281081
"83","2015-07-27",0.666280985200263
"84","2015-08-03",0.566539370564727
"85","2015-08-10",0.499395978571538
"86","2015-08-17",0.551341145237084
"87","2015-08-24",0.85774503734861
"88","2015-08-31",0.93498054703351
"89","2015-09-07",2.57710874734205
"90","2015-09-14",1.24400703013771
"91","2015-09-21",1.42246184661658
"92","2015-09-28",1.66782408137944
"93","2015-10-05",1.69986087899921
"94","2015-10-12",1.03805633463032
"95","2015-10-19",1.51379103830607
"96","2015-10-26",3.31620994635525
"97","2015-11-02",3.52470028689079
"98","2015-11-09",2.45103549971014
"99","2015-11-16",3.47547752260064
"100","2015-11-23",3.6809342455599
"101","2015-11-30",3.6245588288727
"102","2015-12-07",3.5523391955272
"103","2015-12-14",2.82591484831843
"104","2015-12-21",2.59233657855849
"105","2015-12-28",5.04791581632949
"106","2016-01-04",4.93244918724804
"107","2016-01-11",5.64459837704171
"108","2016-01-18",2.21748660579817
"109","2016-01-25",3.88863735775387
"110","2016-02-01",3.16297562058591
"111","2016-02-08",4.23517753334534
"112","2016-02-15",3.9565137143804
"113","2016-02-22",4.3388122342694
"114","2016-02-29",4.27958672455715
"115","2016-03-07",3.37546379026284
"116","2016-03-14",2.8237644045457
"117","2016-03-21",3.80348825928145
"118","2016-03-28",2.73234608086627
"119","2016-04-04",1.57404740716337
"120","2016-04-11",1.32779133233505
"121","2016-04-18",1.16162339611569
"122","2016-04-25",0.630928986479973
"123","2016-05-02",0.668029005552321
"124","2016-05-09",1.14714890392941
"125","2016-05-16",1.3208078499797
"126","2016-05-23",0.692867233634824
"127","2016-05-30",2.2315525629826
"128","2016-06-06",0.660543903258615
"129","2016-06-13",0.375898391905489
"130","2016-06-20",0.519973773464933
"131","2016-06-27",0.386202277238269
"132","2016-07-04",0.339731146210498
"133","2016-07-11",0.364352855374197
"134","2016-07-18",0.231947727543165
"135","2016-07-25",0.38625538009374
"136","2016-08-01",0.534960718885735
"137","2016-08-08",0.488416618615007
"138","2016-08-15",0.927942893221888
"139","2016-08-22",0.382113615066138
"140","2016-08-29",0.985660479502838
"141","2016-09-05",0.609492079898333
"142","2016-09-12",0.512818512533857
"143","2016-09-19",0.478857626305811
"144","2016-09-26",0.547045824799768
"145","2016-10-03",0.643639429953509
"146","2016-10-10",1.27191488313488
"147","2016-10-17",1.19889587357666
"148","2016-10-24",1.00738262455957
"149","2016-10-31",1.33648762360622
"150","2016-11-07",1.38109183673929
"151","2016-11-14",1.12369602903298
"152","2016-11-21",1.26040713282468
"153","2016-11-28",1.77364743543882
"154","2016-12-05",2.06357443601206
"155","2016-12-12",1.83506500322211
